,Brand,Model,Color,Type,Rating,No_rating,Bought,Discounted_price,Original_price,Discount
1196,KZ,KZ Dawn,ofc Cable,,3.1,16,100+ bought in past month,₹569,₹999,43%
1197,Boult,Boult Audio Z40 Ultra,Jet Black,Wireless,3.0,479,,,,
1198,Original,Original CMF Buds 2,,Wireless,1.0,1,,"₹1,549","₹2,799",45%
1199,Noise,Noise Newly Launched Air Buds Pro 4,Upto,Wireless,3.6,"3,728",,"₹1,799","₹5,499",67%
1200,pTron,pTron Zenbuds X1 Quad Mic,Bold Blue,,3.6,"2,412",,₹699,"₹3,199",78%
1201,Noise,Noise Buds VS401,up,Wireless,3.8,"12,186",,"₹1,399","₹3,499",60%
1202,pTron,pTron Basspods P251+ In-Ear,Black,Wireless,3.0,184,,₹599,"₹3,999",85%
1203,pTron,pTron Bassbuds Gomax,Blue,Wireless,3.5,374,,₹799,"₹2,899",72%
1204,CrossBeats,CrossBeats Groov Max True,,Wireless,3.8,128,100+ bought in past month,"₹1,998","₹5,999",67%
1205,RTUSIA,RTUSIA Small,,Wireless,4.0,"5,256",50+ bought in past month,"₹2,499","₹6,999",64%
1206,Buds,Buds 2,Black,Wired,,,,₹465,₹999,53%
1207,Mivi,Mivi Commando X7 [Just Launched] Gaming,,Wireless,3.9,236,50+ bought in past month,"₹1,199","₹3,999",70%
1208,Wireless,Wireless,,Wireless,,,,₹300,₹600,50%
1209,ND,ND Venus,Type,Wired,3.6,50,,"₹1,083","₹1,499",28%
1210,Type,Type-C,,,,,,₹370,"₹1,999",81%
1211,Poly,Poly Voyager 5200,,Wireless,3.7,"1,464",,"₹8,698","₹10,999",21%
1212,JBL,JBL Quantum 50 by Harman,Purple,Wired,3.8,165,,₹999,"₹1,999",50%
1213,amazon,amazon basics True,Grey,Wireless,3.8,112,,₹680,"₹2,499",73%
1214,Oraimo,Oraimo,Black,Wired,3.8,5,,₹299,,
1215,Jk,Jk Paradise,,Wired,2.5,13,,₹90,₹399,77%
1216,GZT,GZT Tunify Max,Grey,,5.0,8,,₹287,"₹1,499",81%
1217,pTron,pTron Newly Launched Zenbuds X1 Quad Mic,Black,,3.6,"2,412",,₹699,"₹3,199",78%
