,Brand,Model,Color,Type,Rating,No_rating,Bought in past month,Discounted_price,Original_price,Discount %,Freq_bought
304,Hammer,Hammer splendor,Black,Wireless,3.2,516,500+ ,499,2499,80,least bought
305,Fastrack,Fastrack fpods fe100|bt5.4,Black,Wireless,3.6,3432,500+ ,749,2995,75,least bought
306,Zebronics,Zebronics bro 3.5mm,Orange,Wired,3.4,59333,500+ ,159,399,60,least bought
307,Mivi,Mivi superpods immersio [flagship launch],Black,Wireless,3.9,5110,50+ ,2199,6499,66,least bought
308,Portronics,Portronics harmonics twins s16,Black,Wireless,3.8,647,500+ ,628,1999,69,least bought
309,Boult,Boult newly launched klarity 1,Black,Wireless,3.5,839,500+ ,1299,3499,63,least bought
310,Noise,Noise buds vs402,Neon black,Wireless,3.8,12186,500+ ,1399,3999,65,least bought
311,Boat,"Boat airdopes 800, dolby audio, adaptive eq by mimi, 4mics ai enx, app support, fast charge, ipx5, v5.3",Interstellar white,Wireless,4.0,3927,500+ ,1799,6490,72,least bought
312,Hammer,Hammer nova,Black,Wired,3.3,14,50+ ,299,999,70,least bought
313,Oppo,Oppo enco air3 pro true,Green,Wireless,4.1,1713,1k+ ,4999,7999,38,frequently bought
314,Jbl,Jbl newly launched wave flex,Black,Wireless,3.2,10874,400+ ,2799,4999,44,least bought
315,Zebronics,"Zebronics jumbo lite with 70 hours backup,",Upto,Wireless,3.5,1272,300+ ,599,2999,80,least bought
316,Boat,Boat immortal 125,Black sabre,Wireless,3.5,59,200+ ,799,3499,77,least bought
317,Bluetooth,Bluetooth,Jo,Wireless,5.0,1,100+ ,528,1599,67,least bought
318,Redmi,"Redmi buds 6, dual driver",Black,Wireless,4.0,2725,500+ ,2999,4999,40,least bought
319,Ng,Ng earsafe lite open ear air conduction,Black,Wireless,3.6,386,50+ ,1999,2999,33,least bought
320,Leaf,Leaf buds x121 true,Pure white,Wireless,4.1,157,300+ ,699,2499,72,least bought
321,Boult,Boult audio k40 true,Berry red,Wireless,3.9,7012,400+ ,899,2999,70,least bought
322,Noise,Noise airwave,Upto,Wireless,3.8,18072,300+ ,999,2499,60,least bought
323,Noise,Noise airwave pro,Upto,Wireless,3.7,228,400+ ,1499,3999,63,least bought
324,Truke,Truke new launch crystal dyno leather finish true,Black,Wireless,4.6,350,300+ ,1099,2999,63,least bought
325,Ptron,"Ptron newly launched tangent evolve with 34hrs playtime, hd mic, pristine sound,",Blue,Wireless,4.0,149,300+ ,599,1999,70,least bought
326,Hammer,Hammer screen,White,Wireless,3.6,843,400+ ,1799,8999,80,least bought
327,Number,Number super buds pro gt99,Glass black,Wireless,3.3,136,500+ ,799,4999,84,least bought
328,Boult,Boult audio fxcharge,Black,Wireless,3.7,29790,500+ ,899,4499,80,least bought
329,Boat,"Boat nirvana ion anc pro, hi-res audio ldac,anc(~32db), 120hrs battery, app support, fast charge, v5.3",Blazing comet,Wireless,3.9,17232,500+ ,2799,13990,80,least bought
330,Jabra,Jabra evolve 20 ms stereo,Black,Wired,3.9,697,400+ ,4839,7156,32,least bought
331,Boat,Boat airdopes drift,Black sabre,Wireless,3.7,72,300+ ,1099,5990,82,least bought
332,Noise,Noise newly launched air clips,Pearl purple,Wireless,2.9,66,500+ ,2999,3999,25,least bought
333,Amazon,Amazon basics,Ab,Wireless,3.5,421,500+ ,599,2499,76,least bought
334,Mivi,Mivi superpods immersio [flagship launch],Black,Wireless,3.9,5110,500+ ,2199,6499,66,least bought
335,Soundcore,Soundcore r50i nc by anker noise cancelling,Black,Wireless,4.0,6811,500+ ,2099,5598,63,least bought
336,Amazon,Amazon basics,Ab,Wireless,3.3,414,300+ ,599,2499,76,least bought
337,Boult,Boult klarity 3 6-mic hybrid anc (upto 50db),Upto,Wireless,3.4,2022,500+ ,1799,5999,70,least bought
338,Boat,Boat rockerz 150 pro,Green,Wireless,3.5,1680,500+ ,1399,3990,65,least bought
339,Leaf,Leaf buds x121 true,Carbon black,Wireless,4.2,370,500+ ,699,2499,72,least bought
340,Redmi,Redmi buds 5c,Black,Wireless,4.0,2725,400+ ,1799,4999,64,least bought
341,Realme,Realme buds n1 true,Energizing green,Wireless,4.1,11183,500+ ,2199,3999,45,least bought
342,Boat,"Boat airdopes 191 anc, 32db anc, ambient mode, 60hrs battery, 4mics enx,",Pellucid white,Wireless,3.1,264,500+ ,1398,6990,80,least bought
343,Xiaomi,Xiaomi type-c,White,Wireless,3.8,288,400+ ,599,999,40,least bought
344,Sony,Sony wf-c510,Black,Wireless,3.8,1286,400+ ,3989,8990,56,least bought
345,Noise,Noise newly launched buds verve 2,Carbon black,Wireless,4.0,456,500+ ,1499,3999,63,least bought
346,Noise,Noise airwave pro,Upto,Wireless,3.6,99,300+ ,1499,3999,63,least bought
347,Realme,Realme buds t110 true,Country green,Wireless,4.0,26192,600+ ,1299,2999,57,least bought
348,Jbl,Jbl wave beam 2 ear buds,Black,Wireless,3.7,731,500+ ,4299,7499,43,least bought
349,Crossbeats,Crossbeats fury max gaming,Black,Wireless,4.2,1261,500+ ,2298,5999,62,least bought
350,Truke,Truke buds f1 ultra true,Blue,Wireless,3.8,2679,500+ ,899,2999,70,least bought
351,Zebronics,Zebronics sound bomb 7,Black,Wireless,3.7,1534,400+ ,799,4299,81,least bought
352,Jbl,"Jbl c50hi,",Red,Wired,3.9,9811,300+ ,499,999,50,least bought
353,Amazon,Amazon basics,Ab,Wireless,3.6,316,500+ ,549,2499,78,least bought
354,Oneplus,Oneplus buds pro 3,Black,Wireless,4.2,523,500+ ,11999,13999,14,least bought
355,Portronics,Portronics conch sigma a,White,Wired,4.0,20,400+ ,289,599,52,least bought
356,Ptron,Ptron boom play,Black,Wired,3.2,454,200+ ,249,1199,79,least bought
357,Mivi,"Mivi duopods i2 pro [new launch], instacharge hd clear calling",Black,Wireless,3.8,330,400+ ,1199,3999,70,least bought
358,Sony,Sony mdr-ex14ap,Blue,Wired,3.7,1650,300+ ,599,1299,54,least bought
359,Lapster,Lapster anti-slip silicone ear buds 4pieces silicone earphone ear hooks plugs for,Black,Wireless,4.0,2384,300+ ,99,999,90,least bought
360,Soundcore,Soundcore r50i nc by anker noise cancelling in ear,Green,Wireless,4.0,6811,200+ ,1899,5598,66,least bought
361,Ptron,Ptron intunes magic,Jet black,Wireless,3.7,2224,200+ ,499,2499,80,least bought
362,Jbl,"Jbl tune 215bt, 16 hrs playtime with quick charge,",Green,Wireless,3.5,30739,200+ ,1999,2999,33,least bought
363,Ptron,Ptron bassbuds gomax,Blue,Wireless,3.5,374,50+ ,799,2899,72,least bought
364,Boult,Boult audio z40 gaming,Electric white,Wireless,3.9,1191,400+ ,999,5499,82,least bought
365,Realme,Realme,Country green,Wireless,4.0,26192,400+ ,1299,2999,57,least bought
366,Boat,Boat rockerz trinity,Cosmic black,Wireless,3.6,4067,300+ ,1399,2499,44,least bought
367,Boat,"Boat new launch nirvana crystl, transparent case,spatial audio, anc(~32db), 100hrs battery,4mics enx, dual pair,app support,",Yellow pop,Wireless,4.5,457,200+ ,2399,10990,78,least bought
368,Boult,Boult audio k40 true,Khaki green,Wireless,3.9,7012,400+ ,899,2999,70,least bought
369,Tech,Tech xpert cmf buds,Black,Wireless,1.0,1,50+ ,1799,2999,40,least bought
370,Amazon,Amazon basics,Ab,Wireless,3.6,316,500+ ,599,2499,76,least bought
371,Kz,Kz edc pro iem,Dd,Wired,4.0,201,300+ ,883,1399,37,least bought
372,Samsung,Samsung galaxy,Silver,Wireless,4.0,344,400+ ,13850,24999,45,least bought
373,Boat,"Boat airdopes ultra pro (2025), 100hrs battery, dual pairing, spatial audio, app support, fast charge, 4mics enx, v5.3",Zinc white,Wireless,4.4,329,300+ ,1799,6990,74,least bought
374,Kz,Kz castor pro,Black,Wireless,4.0,153,300+ ,1852,2999,38,least bought
375,Jbl,Jbl live pro 2 premium,Black,Wireless,4.0,4926,300+ ,7999,16999,53,least bought
376,Soundcore,Soundcore by anker r50i vi true,Blue,Wireless,4.3,38372,300+ ,1299,2249,42,least bought
377,Realme,Realme buds t01 true,White,Wireless,3.6,325,300+ ,1099,2999,63,least bought
378,Noise,Noise buds x prime,Silver grey,Wireless,3.8,4192,400+ ,1599,4499,64,least bought
379,Portronics,Portronics conch gama,Black,Wired,4.0,3277,200+ ,249,599,58,least bought
380,Jbl,Jbl vibe beam,Tws,Wireless,3.5,28272,300+ ,2299,5999,62,least bought
381,Noise,Noise newly launched buds trance 2,Up to,Wireless,2.9,410,400+ ,1199,2999,60,least bought
382,Boat,"Boat nirvana space, 360 spatial audio, active noise cancellation (~32db), 100hrs battery,4mics enx, fast charge, v5.3",Celestial white,Wireless,4.0,4101,500+ ,2099,7990,74,least bought
383,Wecool,Wecool moonwalk m2 bone conduction,Black,Wireless,3.8,5189,200+ ,2489,8999,72,least bought
384,Boat,Boat rockerz 235 pro,Ash grey,Wireless,3.8,213,500+ ,899,2490,64,least bought
385,Motast,Motast,Black,Wireless,4.2,12346,50+ ,1299,4999,74,least bought
386,Portronics,Portronics conch kappa c,White,Wired,4.4,3,50+ ,329,799,59,least bought
387,Truke,Truke new launch buds elite true,Black,Wireless,4.1,184,1k+ ,799,2299,65,frequently bought
388,Ptron,Ptron bassbuds tango in-ear,Bold black,Wireless,3.6,2412,200+ ,599,3999,85,least bought
389,Amazon,Amazon basics,Ab,Wireless,3.5,421,300+ ,549,2499,78,least bought
390,Jbl,"Jbl c200si, premium",Blue,Wired,4.1,28765,200+ ,798,1499,47,least bought
391,Philips,Philips tan1150bk/94,Deep black,Wireless,3.0,34,300+ ,1199,1999,40,least bought
392,Boat,"Boat nirvana ivy, 50db hybrid active noise cancellation, 360º spatial audio,fast charge,app support, v5.3",Gunmetal black,Wireless,3.8,515,300+ ,3299,17990,82,least bought
393,D2q,D2q,Black,Wired,4.0,898,100+ ,320,899,64,least bought
394,Realme,Realme buds air 6,Flame silver,Wireless,4.0,1683,400+ ,3299,5999,45,least bought
395,Jxrev,Jxrev,Black,Wired,4.0,2034,200+ ,545,1999,73,least bought
396,Noothing,"Noothing neckband pro 50db active noise cancellation, smart dial design, 37 hrs playtime",Black,Wireless,2.9,34,50+ ,599,999,40,least bought
397,Blaupunkt,Blaupunkt em01,Black,Wired,3.9,11594,200+ ,498,1299,62,least bought
398,Boult,Boult newly launched klarity 1,Grey,Wireless,3.5,839,200+ ,1299,3499,63,least bought
399,Jbl,"Jbl tune 215bt, 16 hrs playtime with quick charge,",Blue,Wireless,3.5,30739,300+ ,1999,2999,33,least bought
400,Boat,Boat rockerz 255 touch,Teal green,Wireless,3.9,227086,500+ ,1399,4990,72,least bought
401,Ambrane,Ambrane type c,Stringz,Wired,3.4,751,300+ ,329,699,53,least bought
402,Portronics,Portronics harmonics z5,White,Wireless,3.7,200,300+ ,699,2499,72,least bought
403,Truke,Truke newly launched buds freedom open ear,Sunset black,Wireless,3.5,589,200+ ,1499,6999,79,least bought
404,Ptron,Ptron basspods p81,Light lilac,Wireless,3.5,374,200+ ,599,2599,77,least bought
405,Soundcore,"Soundcore by anker,space one,active noise cancelling",Black,Wireless,4.3,3514,200+ ,7998,19998,60,least bought
406,Boat,"Boat nirvana space, 360º spatial audio, active noise cancellation (~32db), 100hrs battery,4mics enx, fast charge, v5.3",Infinity blue,Wireless,4.0,4101,500+ ,2099,8499,75,least bought
407,Truke,Truke [just launched buds q1 lite true,Black,Wireless,3.6,1052,200+ ,699,2499,72,least bought
408,Amazon,Amazon basics true,White,Wireless,3.0,24,300+ ,549,2999,82,least bought
409,Realme,Realme buds t300,Stylish black,Wireless,4.1,11183,200+ ,2399,3999,40,least bought
410,Amazon,Amazon basics true,Black,Wireless,2.9,57,300+ ,599,2999,80,least bought
411,Fastrack,Fastrack fpods fz100,Black,Wireless,3.6,3432,200+ ,1178,4995,76,least bought
412,Truke,Truke new launch buds aura true,Carbonblack,Wireless,4.2,408,400+ ,899,2799,68,least bought
413,Noise,Noise newly launched air buds 6,Up to,Wireless,4.0,2844,200+ ,2499,3499,29,least bought
414,Boat,"Boat nirvana ion anc, active noise cancellation(~32db), 120hrs battery, app support, crystal bionic sound, 4mics enx, v5.3",Blazing comet,Wireless,3.9,17232,300+ ,2299,9990,77,least bought
415,Wireless,Wireless,Black,Wireless,5.0,2,50+ ,305,699,56,least bought
416,Truke,Truke new launch btg ultra true,Black,Wireless,3.8,1355,700+ ,899,2999,70,least bought
417,Boat,"Boat nirvana space, 360 spatial audio, active noise cancellation (~32db), 100hrs battery,4mics enx, fast charge, v5.3",Pink punch,Wireless,4.0,4101,300+ ,2099,8499,75,least bought
418,Boat,"Boat nirvana space, 360º spatial audio, active noise cancellation (~32db), 100hrs battery,4mics enx, fast charge, v5.3",Cosmos green,Wireless,4.0,4101,300+ ,2099,8499,75,least bought
419,Nu,Nu republic cyberstud x8,Silver,Wireless,4.1,62,300+ ,999,2999,67,least bought
420,Truke,Truke buds btg1 true,Enc,Wireless,3.6,3818,300+ ,799,3499,77,least bought
421,Boult,Boult audio z40 gaming,Black moss,Wireless,3.9,1191,200+ ,999,5499,82,least bought
422,Blaupunkt,Blaupunkt em06,Black,Wired,3.9,11594,300+ ,349,1199,71,least bought
423,Blaupunkt,Blaupunkt em06,Black,Wired,3.9,11594,200+ ,349,1199,71,least bought
424,Ptron,Ptron basspods p81,Powder blue,Wireless,3.5,374,200+ ,599,2599,77,least bought
425,Jbl,Jbl new launch tune flex 2,Black,Wireless,4.0,580,200+ ,5999,9999,40,least bought
426,Zebronics,Zebronics zeb-calyx,Black,Wired,3.4,6848,300+ ,349,399,13,least bought
427,Boat,Boat rockerz 255 pro,Navy blue,Wireless,4.1,83689,500+ ,1399,3499,60,least bought
428,Portronics,Portronics harmonics twins s13,Black,Wireless,3.7,161,200+ ,599,1999,70,least bought
429,Kreo,Kreo hydra 3.5mm dual dynamic driver,Black,Wired,3.7,717,200+ ,1199,2499,52,least bought
430,Mivi,Mivi duopods i2 true,Black,Wireless,3.7,5310,200+ ,999,2999,67,least bought
431,Mivi,Mivi duopods i7,Black,Wireless,3.8,88,100+ ,999,4999,80,least bought
